no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,,,Kalam Kudus Ambon,,,SD,,,,,,,,,70,70,70,70,65,55,,,,,,,,,
,,,Santa Maria Tulung Agung,,,SD,,,,,,,,,50,55,60,60,70,65,,,,,,,,,
,,,Az Zahro,,,SD,,,,,,,,,95,90,95,74,70,74,,,,,,,,,
,,,Santa Maria Surabaya,,,SD,,,,,,,,,80,80,77,63,104,110,,,,,,,,,
,,,Bunga Bangsa,,,SD,,,,,,,,,35,32,24,28,28,32,,,,,,,,,
,,,Anak Bangsa,,,SD,,,,,,,,,25,10,15,20,20,20,,,,,,,,,
,,,Ar Rayyan,,,SD,,,,,,,,,40,40,40,40,40,40,,,,,,,,,
,,,Luveta,,,SD,,,,,,,,,40,40,40,40,40,40,,,,,,,,,
,,,Margie,,,SMP,,,,,,,,,,,,,,,20,10,10,,,,,,
,,,St. Yosef,,,SMP,,,,,,,,,,,,,,,115,112,115,,,,,,
,,,St. Carolus,,,SMP,,,,,,,,,,,,,,,120,120,115,,,,,,
,,,Kalam Kudus Ambon,,,SMP,,,,,,,,,,,,,,,65,65,64,,,,,,
,,,HFS,,,SMP,,,,,,,,,,,,,,,25,25,25,,,,,,
,,,Anak Bangsa,,,SMP,,,,,,,,,,,,,,,30,30,30,,,,,,
,,,Petra 2,,,SMP,,,,,,,,,,,,,,,120,120,120,,,,,,
,,,Petra 1,,,SMP,,,,,,,,,,,,,,,120,120,120,,,,,,
,,,Margie,,,SMA,,,,,,,,,,,,,,,,,,20,19,15,,,
,,,St. Carolus,,,SMA,,,,,,,,,,,,,,,,,,120,120,125,,,
